* = 6309,Immediate,Direct,Indexed,Extended,Inherent,Relative,Register,Memory
*,Mnemonic,Opcode,Cycles,Length,Opcode,Cycles,Length,Opcode,Cycles,Length,Opcode,Cycles,Length,Opcode,Cycles,Length,Opcode,Cycles,Length,Opcode,Cycles,Length,Opcode,Cycles,Length
,ABX,,,,,,,,,,,,,3A,3/1,1,,,,,,,,,
,ADCA,89,2,2,99,4/3,2,A9,4+,2+,B9,5/4,3,,,,,,,,,,,,
,ADCB,C9,2,2,D9,4/3,2,E9,4+,2+,F9,5/4,3,,,,,,,,,,,,
*,ADCD,1089,5/4,4,1099,7/5,3,10A9,7+/6+,3+,10B9,8/6,4,,,,,,,,,,,,
*,ADCR,,,,,,,,,,,,,,,,,,,1031,4,3,,,
,ADDA,8B,2,2,9B,4/3,2,AB,4+,2+,BB,5/4,3,,,,,,,,,,,,
,ADDB,CB,2,2,DB,4/3,2,EB,4+,2+,FB,5/4,3,,,,,,,,,,,,
,ADDD,C3,4/3,3,D3,6/4,2,E3,6+/5+,2+,F3,7/5,3,,,,,,,,,,,,
*,ADDE,118B,3,3,119B,5/4,3,11AB,5+,3+,11BB,6/5,4,,,,,,,,,,,,
*,ADDF,11CB,3,3,11DB,5/4,3,11EB,5+,3+,11FB,6/5,4,,,,,,,,,,,,
*,ADDR,1030,4,3,,,,,,,,,,,,,,,,,,,,,
*,ADDW,108B,5/4,4,109B,7/5,3,10AB,7+/6+,3+,10BB,8/6,4,,,,,,,,,,,,
*,AIM,,,,02,6,3,62,7,3+,72,7,4,,,,,,,,,,,,
,ANDA,84,2,2,94,4/3,2,A4,4+,2+,B4,5/4,3,,,,,,,,,,,,
,ANDB,C4,2,2,D4,4/3,2,E4,4+,2+,F4,5/4,3,,,,,,,,,,,,
,ANDCC,1C,3,2,,,,,,,,,,,,,,,,,,,,,
*,ANDD,1084,5/4,4,1094,7/5,3,10A4,7+/6+,3+,10B4,8/6,4,,,,,,,,,,,,
*,ANDR,,,,,,,,,,,,,,,,,,,1034,4,3,,,
,ASL/LSL,,,,08,6/5,2,68,6+,2+,78,7/6,3,,,,,,,,,,,,
,ASLA/LSLA,,,,,,,,,,,,,48,2/1,1,,,,,,,,,
,ASLB/LSLB,,,,,,,,,,,,,58,2/1,1,,,,,,,,,
*,ASLD/LSLD,,,,,,,,,,,,,1048,3/2,2,,,,,,,,,
,ASR,,,,07,6/5,2,67,6+,2+,77,7/6,3,,,,,,,,,,,,
,ASRA,,,,,,,,,,,,,47,2/1,1,,,,,,,,,
,ASRB,,,,,,,,,,,,,57,2/1,1,,,,,,,,,
*,ASRD,,,,,,,,,,,,,1047,3/2,2,,,,,,,,,
*,BAND,,,,,,,,,,,,,,,,,,,,,,1130,7/6,4
*,BEOR,,,,,,,,,,,,,,,,,,,,,,1134,7/6,4
,BEQ,,,,,,,,,,,,,,,,27,3,2,,,,,,
,BGE,,,,,,,,,,,,,,,,2C,3,2,,,,,,
,BGT,,,,,,,,,,,,,,,,2E,3,2,,,,,,
,BHI,,,,,,,,,,,,,,,,22,3,2,,,,,,
,BHS/BCC,,,,,,,,,,,,,,,,24,3,2,,,,,,
*,BIAND,,,,,,,,,,,,,,,,,,,,,,1131,7/6,4
*,BIEOR,,,,,,,,,,,,,,,,,,,,,,1135,7/6,4
*,BIOR,,,,,,,,,,,,,,,,,,,,,,1133,7/6,4
,BITA,85,2,2,95,4/3,2,A5,4+,2+,B5,5/4,3,,,,,,,,,,,,
,BITB,C5,2,2,D5,4/3,2,E5,4+,2+,F5,5/4,3,,,,,,,,,,,,
*,BITD,1085,5/4,4,1095,7/5,3,10A5,7+/6+,3+,10B5,8/6,4,,,,,,,,,,,,
*,BITMD,113C,4,3,,,,,,,,,,,,,,,,,,,,,
,BLE,,,,,,,,,,,,,,,,2F,3,2,,,,,,
,BLO/BCS,,,,,,,,,,,,,,,,25,3,2,,,,,,
,BLS,,,,,,,,,,,,,,,,23,3,2,,,,,,
,BLT,,,,,,,,,,,,,,,,2D,3,2,,,,,,
,BMI,,,,,,,,,,,,,,,,2B,3,2,,,,,,
,BNE,,,,,,,,,,,,,,,,26,3,2,,,,,,
*,BOR,,,,,,,,,,,,,,,,,,,,,,1132,7/6,4
,BPL,,,,,,,,,,,,,,,,2A,3,2,,,,,,
,BRA,,,,,,,,,,,,,,,,20,3,2,,,,,,
,BRN,,,,,,,,,,,,,,,,21,3,2,,,,,,
,BSR,,,,,,,,,,,,,,,,8D,7/6,2,,,,,,
,BVC,,,,,,,,,,,,,,,,28,3,2,,,,,,
,BVS,,,,,,,,,,,,,,,,29,3,2,,,,,,
,CLR,,,,0F,6/5,2,6F,6+,2+,7F,7/6,3,,,,,,,,,,,,
,CLRA,,,,,,,,,,,,,4F,2/1,1,,,,,,,,,
,CLRB,,,,,,,,,,,,,5F,2/1,1,,,,,,,,,
*,CLRD,,,,,,,,,,,,,104F,3/2,2,,,,,,,,,
*,CLRE,,,,,,,,,,,,,114F,3/2,2,,,,,,,,,
*,CLRF,,,,,,,,,,,,,115F,3/2,2,,,,,,,,,
*,CLRW,,,,,,,,,,,,,105F,3/2,2,,,,,,,,,
,CMPA,81,2,2,91,4/3,2,A1,4+,2+,B1,5/4,3,,,,,,,,,,,,
,CMPB,C1,2,2,D1,4/3,2,E1,4+,2+,F1,5/4,3,,,,,,,,,,,,
,CMPD,1083,5/4,4,1093,7/5,3,10A3,7+/6+,3+,10B3,8/6,4,,,,,,,,,,,,
*,CMPE,1181,3,3,1191,5/4,3,11A1,5+,3+,11B1,6/5,4,,,,,,,,,,,,
*,CMPF,11C1,3,3,11D1,5/4,3,11E1,5+,3+,11F1,6/5,4,,,,,,,,,,,,
*,CMPR,,,,,,,,,,,,,,,,,,,1037,4,3,,,
,CMPS,118C,5/4,4,119C,7/5,3,11AC,7,3,11BC,8/6,4,,,,,,,,,,,,
,CMPU,1183,5/4,4,1193,7/5,3,11A3,7+/6+,3+,11B3,8/6,4,,,,,,,,,,,,
*,CMPW,1081,5/4,4,1091,7/5,3,10A1,7+/6+,3+,10B1,8/6,4,,,,,,,,,,,,
,CMPX,8C,4/3,3,9C,6/4,2,AC,6+/5+,2+,BC,7/5,3,,,,,,,,,,,,
,CMPY,108C,5/4,4,109C,7/5,3,10AC,7+/6+,3+,10BC,8/6,4,,,,,,,,,,,,
,COM,,,,03,6/5,2,63,6+,2+,73,7/6,3,,,,,,,,,,,,
,COMA,,,,,,,,,,,,,43,2/1,1,,,,,,,,,
,COMB,,,,,,,,,,,,,53,2/1,1,,,,,,,,,
*,COMD,,,,,,,,,,,,,1043,3/2,2,,,,,,,,,
*,COME,,,,,,,,,,,,,1143,3/2,2,,,,,,,,,
*,COMF,,,,,,,,,,,,,1153,3/2,2,,,,,,,,,
*,COMW,,,,,,,,,,,,,1053,3/2,2,,,,,,,,,
,CWAI,3C,22/20,2,,,,,,,,,,,,,,,,,,,,,
,DAA,,,,,,,,,,,,,19,2/1,1,,,,,,,,,
,DEC,,,,0A,6/5,2,6A,6+,2+,7A,7/6,3,,,,,,,,,,,,
,DECA,,,,,,,,,,,,,4A,2/1,1,,,,,,,,,
,DECB,,,,,,,,,,,,,5A,2/1,1,,,,,,,,,
*,DECD,,,,,,,,,,,,,104A,3/2,2,,,,,,,,,
*,DECE,,,,,,,,,,,,,114A,3/2,2,,,,,,,,,
*,DECF,,,,,,,,,,,,,115A,3/2,2,,,,,,,,,
*,DECW,,,,,,,,,,,,,105A,3/2,2,,,,,,,,,
*,DIVD,118D,25,4,119D,27/26,3,11AD,27+,3+,11BD,28/27,4,,,,,,,,,,,,
*,DIVQ,118E,36,4,119E,36/35,3,11AE,36+,3+,11BE,37/36,4,,,,,,,,,,,,
*,EIM,,,,05,6,3,65,7+,3+,75,7,4,,,,,,,,,,,,
,EORA,88,2,2,98,4/3,2,A8,4+,2+,B8,5/4,3,,,,,,,,,,,,
,EORB,C8,2,2,D8,4/3,2,E8,4+,2+,F8,5/4,3,,,,,,,,,,,,
*,EORD,1088,5/4,4,1098,7/5,3,10A8,7+/6+,3+,10B8,8/6,4,,,,,,,,,,,,
*,EORR,,,,,,,,,,,,,,,,,,,1036,4,3,,,
,EXG,1E,8/5,2,,,,,,,,,,,,,,,,,,,,,
,INC,,,,0C,6/5,2,6C,6+,2+,7C,7/6,3,,,,,,,,,,,,
,INCA,,,,,,,,,,,,,4C,2/1,1,,,,,,,,,
,INCB,,,,,,,,,,,,,5C,2/1,1,,,,,,,,,
*,INCD,,,,,,,,,,,,,104C,3/2,2,,,,,,,,,
*,INCE,,,,,,,,,,,,,114C,3/2,2,,,,,,,,,
*,INCF,,,,,,,,,,,,,115C,3/2,2,,,,,,,,,
*,INCW,,,,,,,,,,,,,105C,3/2,2,,,,,,,,,
,JMP,,,,0E,3/2,2,6E,3+,2+,7E,4/3,3,,,,,,,,,,,,
,JSR,,,,9D,7/6,2,AD,7+/6+,2+,BD,8/7,3,,,,,,,,,,,,
,LBCS/LBLO,,,,,,,,,,,,,,,,1025,5/6,4,,,,,,
,LBEQ,,,,,,,,,,,,,,,,1027,5/6,4,,,,,,
,LBGE,,,,,,,,,,,,,,,,102C,5/6,4,,,,,,
,LBGT,,,,,,,,,,,,,,,,102E,5/6,4,,,,,,
,LBHI,,,,,,,,,,,,,,,,1022,5/6,4,,,,,,
,LBHS/LBCC,,,,,,,,,,,,,,,,1024,5/6,4,,,,,,
,LBLE,,,,,,,,,,,,,,,,102F,5/6,4,,,,,,
,LBLS,,,,,,,,,,,,,,,,1023,5/6,4,,,,,,
,LBLT,,,,,,,,,,,,,,,,102D,5/6,4,,,,,,
,LBMI,,,,,,,,,,,,,,,,102B,5/6,4,,,,,,
,LBNE,,,,,,,,,,,,,,,,1026,5/6,4,,,,,,
,LBPL,,,,,,,,,,,,,,,,102A,5/6,4,,,,,,
,LBRA,,,,,,,,,,,,,,,,16,5/4,3,,,,,,
,LBRN,,,,,,,,,,,,,,,,1021,5/6,4,,,,,,
,LBSR,,,,,,,,,,,,,,,,17,9/7,3,,,,,,
,LBVC,,,,,,,,,,,,,,,,1028,5/6,4,,,,,,
,LBVS,,,,,,,,,,,,,,,,1029,5/6,4,,,,,,
,LDA,86,2,2,96,4/3,2,A6,4+,2+,B6,5/4,3,,,,,,,,,,,,
,LDB,C6,2,2,D6,4/3,2,E6,4+,2+,F6,5/4,3,,,,,,,,,,,,
*,LDBT,,,,,,,,,,,,,,,,,,,,,,1136,7/6,4
,LDD,CC,3,3,DC,5/4,2,EC,5+,2+,FC,6/5,3,,,,,,,,,,,,
*,LDE,1186,3,3,1196,5/4,3,11A6,5+,3+,11B6,6/5,4,,,,,,,,,,,,
*,LDF,11C6,3,3,11D6,5/4,3,11E6,5+,3+,11F6,6/5,4,,,,,,,,,,,,
*,LDMD,113D,5,5,,,,,,,,,,,,,,,,,,,,,
*,LDQ,CD,5,5,10DC,8/7,3,,,,,,,,,,,,,,,,,,
,LDS,10CE,4,4,10DE,6/5,3,10EE,6+,3+,10FE,7/6,4,,,,,,,,,,,,
,LDU,CE,3,3,DE,5/4,2,EE,5+,2+,FE,6/5,3,,,,,,,,,,,,
*,LDW,1086,5/4,4,1096,6/5,3,10A6,6+,3+,10B6,7/6,4,,,,,,,,,,,,
,LDX,8E,3,3,9E,5/4,2,AE,5+,2+,BE,6/5,3,,,,,,,,,,,,
,LDY,108E,5/4,4,109E,6/5,3,10AE,6,3+,10BE,7/6,4,,,,,,,,,,,,
,LEAS,,,,,,,32,4+,2,,,,,,,,,,,,,,,
,LEAU,,,,,,,33,4+,2,,,,,,,,,,,,,,,
,LEAX,,,,,,,30,4+,2,,,,,,,,,,,,,,,
,LEAY,,,,,,,31,4+,2,,,,,,,,,,,,,,,
,LSR,,,,04,6/5,2,64,6+,2+,74,7/6,3,,,,,,,,,,,,
,LSRA,,,,,,,,,,,,,44,2/1,1,,,,,,,,,
,LSRB,,,,,,,,,,,,,54,2/1,1,,,,,,,,,
*,LSRD,,,,,,,,,,,,,1044,3/2,2,,,,,,,,,
*,LSRW,,,,,,,,,,,,,1054,3/2,2,,,,,,,,,
,MUL,,,,,,,,,,,,,3D,11/10,1,,,,,,,,,
*,MULD,118F,28,4,119F,30/29,3,11AF,30+,3+,11BF,31/30,4,,,,,,,,,,,,
,NEG,,,,00,6/5,2,60,6+,2+,70,7/6,3,,,,,,,,,,,,
,NEGA,,,,,,,,,,,,,40,2/1,1,,,,,,,,,
,NEGB,,,,,,,,,,,,,50,2/1,1,,,,,,,,,
*,NEGD,,,,,,,,,,,,,1040,3/2,2,,,,,,,,,
,NOP,,,,,,,,,,,,,12,2/1,1,,,,,,,,,
*,OIM,,,,01,6,3,61,6+,3+,71,7,4,,,,,,,,,,,,
,ORA,8A,2,2,9A,4/3,2,AA,4+,2+,BA,5/4,3,,,,,,,,,,,,
,ORB,CA,2,2,DA,4/3,2,EA,4+,2+,FA,5/4,3,,,,,,,,,,,,
,ORCC,1A,3/2,2,,,,,,,,,,,,,,,,,,,,,
*,ORD,108A,5/4,4,109A,7/5,3,10AA,7+/6+,3+,10BA,8/6,4,,,,,,,,,,,,
*,ORR,,,,,,,,,,,,,,,,,,,1035,4,3,,,
,PREBYTE,,,,,,,,,,,,,,,,,,,,,,,,
,PSHS,34,5+/4+,2,,,,,,,,,,,,,,,,,,,,,
*,PSHSW,,,,,,,,,,,,,,,,,,,1038,6,2,,,
,PSHU,36,5+/4+,2,,,,,,,,,,,,,,,,,,,,,
*,PSHUW,,,,,,,,,,,,,,,,,,,103A,6,2,,,
,PULS,35,5+/4+,2,,,,,,,,,,,,,,,,,,,,,
*,PULSW,,,,,,,,,,,,,,,,,,,1039,6,2,,,
,PULU,37,5+/4+,2,,,,,,,,,,,,,,,,,,,,,
*,PULUW,,,,,,,,,,,,,,,,,,,103B,6,2,,,
,ROL,,,,09,6/5,2,69,6+,2+,79,7/6,3,,,,,,,,,,,,
,ROLA,,,,,,,,,,,,,49,2/1,1,,,,,,,,,
,ROLB,,,,,,,,,,,,,59,2/1,1,,,,,,,,,
*,ROLD,,,,,,,,,,,,,1049,3/2,2,,,,,,,,,
*,ROLW,,,,,,,,,,,,,1059,3/2,2,,,,,,,,,
,ROR,,,,06,6/5,2,66,6+,2+,76,7/6,3,,,,,,,,,,,,
,RORA,,,,,,,,,,,,,46,2/1,1,,,,,,,,,
,RORB,,,,,,,,,,,,,56,2/1,1,,,,,,,,,
*,RORD,,,,,,,,,,,,,1046,3/2,2,,,,,,,,,
*,RORW,,,,,,,,,,,,,1056,3/2,2,,,,,,,,,
,RTI,,,,,,,,,,,,,3B,6/15/17,1,,,,,,,,,
,RTS,,,,,,,,,,,,,39,5/1,1,,,,,,,,,
,SBCA,82,2,2,92,4/3,2,A2,4+,2+,B2,5/4,3,,,,,,,,,,,,
,SBCB,C2,2,2,D2,4/3,2,E2,4+,2+,F2,5/4,3,,,,,,,,,,,,
*,SBCD,1082,5/4,4,1092,7/5,3,10A2,7+/6+,3+,10B2,8/6,4,,,,,,,,,,,,
*,SBCR,,,,,,,,,,,,,,,,,,,1033,4,3,,,
,SEX,,,,,,,,,,,,,1D,2/1,1,,,,,,,,,
*,SEXW,,,,,,,,,,,,,14,4,1,,,,,,,,,
,STA,,,,97,4/3,2,A7,4+,2+,B7,5/4,3,,,,,,,,,,,,
,STB,,,,D7,4/3,2,E7,4+,2+,F7,5/4,3,,,,,,,,,,,,
*,STBT,,,,,,,,,,,,,,,,,,,,,,1137,8/7,4
,STD,,,,DD,5/4,2,ED,5+,2+,FD,6/5,3,,,,,,,,,,,,
*,STE,,,,1197,5/4,3,11A7,5+,3+,11B7,6/5,4,,,,,,,,,,,,
*,STF,,,,11D7,5/4,3,11E7,5+,3+,11F7,6/5,4,,,,,,,,,,,,
*,STQ,,,,10DD,8/7,3,,,,,,,,,,,,,,,,,,
,STS,,,,10DF,6/5,3,10EF,6+,3+,10FF,7/6,4,,,,,,,,,,,,
,STU,,,,DF,5/4,2,EF,5+,2+,FF,6/5,3,,,,,,,,,,,,
*,STW,,,,1097,6/5,3,10A7,6+,3+,10B7,7/6,4,,,,,,,,,,,,
,STX,,,,9F,5/4,2,AF,5+,2+,BF,6/5,3,,,,,,,,,,,,
,STY,,,,109F,6/5,3,10AF,6,3+,10BF,7/6,4,,,,,,,,,,,,
,SUBA,80,2,2,90,4/3,2,A0,4+,2+,B0,5/4,3,,,,,,,,,,,,
,SUBB,C0,2,2,D0,4/3,2,E0,4+,2+,F0,5/4,3,,,,,,,,,,,,
,SUBD,83,4/3,3,93,6/4,2,A3,6+/5+,2+,B3,7/5,3,,,,,,,,,,,,
*,SUBE,1180,3,3,1190,5/4,3,11A0,5+,3+,11B0,6/5,4,,,,,,,,,,,,
*,SUBF,11C0,3,3,11D0,5/4,3,11E0,5+,3+,11F0,6/5,4,,,,,,,,,,,,
*,SUBR,,,,,,,,,,,,,,,,,,,1032,4,3,,,
*,SUBW,1080,5/4,4,1090,7/5,3,10A0,7+/6+,3+,10B0,8/6,4,,,,,,,,,,,,
,SWI,,,,,,,,,,,,,3F,19/21,1,,,,,,,,,
,SWI2,,,,,,,,,,,,,103F,20/22,2,,,,,,,,,
,SYNC,,,,,,,,,,,,,13,2/1,1,,,,,,,,,
*,"TFM R+,R",,,,,,,,,,,,,,,,,,,113A,6+3n,3,,,
*,"TFM R+,R+",,,,,,,,,,,,,,,,,,,1138,6+3n,3,,,
*,"TFM R,R+",,,,,,,,,,,,,,,,,,,113B,6+3n,3,,,
*,"TFM R-,R-",,,,,,,,,,,,,,,,,,,1139,6+3n,3,,,
,TFR,1F,6/4,2,,,,,,,,,,,,,,,,,,,,,
*,TIM,,,,0B,6,,6B,7+,3+,7B,7,4,,,,,,,,,,,,
,TST,,,,0D,6/4,2,6D,6+/5+,2+,7D,7/5,3,,,,,,,,,,,,
,TSTA,,,,,,,,,,,,,4D,2/1,1,,,,,,,,,
,TSTB,,,,,,,,,,,,,5D,2/1,1,,,,,,,,,
*,TSTD,,,,,,,,,,,,,104D,3/2,2,,,,,,,,,
*,TSTE,,,,,,,,,,,,,114D,3/2,2,,,,,,,,,
*,TSTF,,,,,,,,,,,,,115D,3/2,2,,,,,,,,,
*,TSTW,,,,,,,,,,,,,105D,3/2,2,,,,,,,,,
